,ticker,cc_return,bh_return,vs_bh,final_value,premium_total,weeks,exercised,exercise_pct,max_drawdown
263,CBRE,38.25,48.65,-10.4,13825.29,4959.95,261,20,7.7,36.3
264,GDDY,38.09,12.27,25.81,13808.59,8642.79,261,22,8.4,61.08
265,MRSH,37.5,31.97,5.53,13749.51,1659.55,261,6,2.3,29.83
266,DLTR,37.46,-15.82,53.27,13745.67,12445.48,261,15,5.7,59.8
267,ICE,37.35,48.61,-11.26,13735.04,1433.86,261,12,4.6,34.99
268,PSA,36.75,31.67,5.07,13674.72,2305.95,261,16,6.1,35.22
269,DDOG,35.08,136.97,-101.89,13508.45,26730.29,261,51,19.5,62.06
270,NVR,34.58,21.05,13.53,13458.08,4421.99,261,19,7.3,39.17
271,HST,33.88,57.58,-23.7,13387.89,4740.27,261,26,10.0,34.53
272,VTRS,33.56,30.58,2.98,13356.12,5280.09,261,27,10.3,42.91
273,MCD,33.13,36.3,-3.17,13312.9,575.93,261,7,2.7,18.92
274,BAC,32.89,36.7,-3.81,13289.42,2922.28,261,15,5.7,43.16
275,PLD,32.57,39.74,-7.18,13256.95,3316.44,261,19,7.3,44.1
276,VRSN,31.7,38.65,-6.95,13170.25,2486.2,261,12,4.6,37.63
277,GM,31.52,36.81,-5.29,13151.85,7319.48,261,40,15.3,56.74
278,ADP,30.01,27.79,2.22,13001.27,1965.15,261,9,3.4,39.77
279,DD,29.43,52.76,-23.33,12943.33,3765.66,261,23,8.8,41.57
280,BLK,29.39,44.85,-15.46,12939.41,2889.35,261,19,7.3,43.6
281,PNC,28.94,34.23,-5.29,12893.68,2931.11,261,22,8.4,42.2
282,MCO,28.61,41.44,-12.83,12861.25,3284.93,261,14,5.4,41.47
283,TTWO,28.35,30.84,-2.49,12835.43,5209.98,261,29,11.1,46.93
284,CHD,28.35,17.57,10.78,12834.64,1274.64,261,2,0.8,30.84
285,LDOS,27.74,29.56,-1.82,12773.88,4504.09,261,16,6.1,34.62
286,BRO,27.53,16.31,11.22,12753.27,3625.86,261,11,4.2,51.79
287,FRT,26.81,25.73,1.09,12681.42,1925.51,261,13,5.0,33.65
288,XEL,26.17,27.86,-1.69,12616.92,1133.07,261,10,3.8,32.74
289,APD,26.06,11.87,14.19,12606.28,3082.15,261,14,5.4,29.33
290,FCX,25.65,57.21,-31.55,12565.45,12724.35,261,47,18.0,54.17
291,YUM,25.41,39.37,-13.96,12540.8,1179.91,261,11,4.2,23.03
292,DHI,25.21,58.14,-32.93,12520.96,8595.68,261,29,11.1,43.33
293,CL,25.13,20.43,4.7,12513.01,747.14,261,5,1.9,27.58
294,UBER,24.82,52.2,-27.38,12481.59,11883.56,261,40,15.3,57.81
